,0,1,2,3,4,5,6,7,8,9,10
0,0,20MICRONS,20 Microns Limited,Miscellaneous,Miscellaneous,EQ,06-Oct-08,5,1,INE144J01027,5
1,1,3MINDIA,3M India Limited,Packaging,Packaging,EQ,13-Aug-04,10,1,INE470A01017,10
2,2,63MOONS,63 moons technologies limited,Computers - Software,Computers - Software,EQ,20-Jun-05,2,1,INE111B01023,2
3,3,A2ZINFRA,A2Z Infra Engineering Limited,Infrastructure - General,Infrastructure - General,EQ,23-Dec-10,10,1,INE619I01012,10
4,4,AARTIDRUGS,Aarti Drugs Limited,Chemicals,Chemicals,EQ,19-Sep-03,10,1,INE767A01016,10
5,5,AARTIIND,Aarti Industries Limited,Chemicals,Chemicals,EQ,08-Feb-95,5,1,INE769A01020,5
6,6,AARVEEDEN,Aarvee Denims & Exports Limited,Diversified,Diversified,EQ,21-Nov-06,10,1,INE273D01019,10
7,7,ABAN,Aban Offshore Limited,Oil Drilling And Exploration,Oil Drilling And Exploration,EQ,29-Mar-95,2,1,INE421A01028,2
8,8,ABB,ABB India Limited,Electric,Electric,EQ,08-Feb-95,2,1,INE117A01022,2
9,9,ABBOTINDIA,Abbott India Limited,Pharmaceuticals,Pharmaceuticals,EQ,08-Jan-10,10,1,INE358A01014,10
10,10,ABFRL,Aditya Birla Fashion and Retail Limited,Retail,Retail,EQ,17-Jul-13,10,1,INE647O01011,10
11,11,ACC,ACC Limited,Cement - Major,Cement - Major,EQ,20-Nov-96,10,1,INE012A01025,10
12,12,ACCELYA,Accelya Solutions India Limited,Computers - Software Medium & Small,Computers - Software Medium & Small,EQ,01-Dec-99,10,1,INE793A01012,10
13,13,ACE,Action Construction Equipment Limited,Engineering - Heavy,Engineering - Heavy,EQ,26-Sep-06,2,1,INE731H01025,2
14,14,ADANIENT,Adani Enterprises Limited,Tyres,Tyres,EQ,04-Jun-97,1,1,INE423A01024,1
15,15,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Chemicals,Chemicals,EQ,27-Nov-07,2,1,INE742F01042,2
16,16,ADANIPOWER,Adani Power Limited,Power - Generation & Distribution,Power - Generation & Distribution,BE,20-Aug-09,10,1,INE814H01011,10
17,17,ADANITRANS,Adani Transmission Limited,Power,Power,EQ,31-Jul-15,10,1,INE931S01010,10
18,18,ADFFOODS,ADF Foods Limited,,,EQ,15-Sep-10,10,1,INE982B01019,10
19,19,ADORWELD,Ador Welding Limited,Electrodes & Graphite,Electrodes & Graphite,EQ,10-May-95,10,1,INE045A01017,10
20,20,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Hotels,Hotels,EQ,25-Jun-07,2,1,INE199C01026,2
21,21,ADVENZYMES,Advanced Enzyme Technologies Limited,Pharmaceuticals,Pharmaceuticals,EQ,01-Aug-16,2,1,INE837H01020,2
22,22,AEGISCHEM,Aegis Logistics Limited,Transport & Logistics,Transport & Logistics,EQ,03-Apr-96,1,1,INE208C01025,1
23,23,AGRITECH,Agri-Tech (India) Limited,Fertilisers,Fertilisers,EQ,28-Jan-14,10,1,INE449G01018,10
24,24,AHLEAST,Asian Hotels (East) Limited,Paints & Varnishes,Paints & Varnishes,BE,11-Aug-10,10,1,INE926K01017,10
25,25,AHLUCONT,Ahluwalia Contracts (India) Limited,Construction & Contracting - Civil,Construction & Contracting - Civil,EQ,14-Dec-09,2,1,INE758C01029,2
26,26,AIAENG,AIA Engineering Limited,Engineering,Engineering,EQ,14-Dec-05,2,1,INE212H01026,2
27,27,AJANTPHARM,Ajanta Pharma Limited,Pharmaceuticals,Pharmaceuticals,EQ,29-May-00,2,1,INE031B01049,2
28,28,AJMERA,Ajmera Realty & Infra India Limited,Construction & Contracting - Real Estate,Construction & Contracting - Real Estate,EQ,16-Jun-09,10,1,INE298G01027,10
29,29,AKSHARCHEM,AksharChem India Limited,Dyes & Pigments,Dyes & Pigments,EQ,28-Mar-17,10,1,INE542B01011,10
30,30,AKSHOPTFBR,Aksh Optifibre Limited,Cables - Telephone,Cables - Telephone,EQ,18-Aug-00,5,1,INE523B01011,5
31,31,AKZOINDIA,Akzo Nobel India Limited,Paints & Varnishes,Paints & Varnishes,EQ,28-Jun-01,10,1,INE133A01011,10
32,32,ALANKIT,Alankit Limited,Miscellaneous,Miscellaneous,EQ,30-Jun-15,1,1,INE914E01040,1
33,33,ALBERTDAVD,Albert David Limited,Pharmaceuticals,Pharmaceuticals,EQ,14-Jun-16,10,1,INE155C01010,10
34,34,ALEMBICLTD,Alembic Limited,Pharmaceuticals,Pharmaceuticals,EQ,22-Sep-99,2,1,INE426A01027,2
35,35,ALICON,Alicon Castalloy Limited,Castings & Forgings,Castings & Forgings,EQ,29-Sep-06,5,1,INE062D01024,5
36,36,ALKALI,Alkali Metals Limited,Mining & Minerals,Mining & Minerals,EQ,06-Nov-08,10,1,INE773I01017,10
37,37,ALKEM,Alkem Laboratories Limited,Pharmaceuticals,Pharmaceuticals,EQ,23-Dec-15,2,1,INE540L01014,2
38,38,ALKYLAMINE,Alkyl Amines Chemicals Limited,Chemicals,Chemicals,EQ,26-Nov-07,2,1,INE150B01039,2
39,39,ALLCARGO,Allcargo Logistics Limited,Transport & Logistics,Transport & Logistics,EQ,23-Jun-06,2,1,INE418H01029,2
40,40,ALLSEC,Allsec Technologies Limited,Computers,Computers,EQ,09-May-05,10,1,INE835G01018,10
41,41,ALMONDZ,Almondz Global Securities Limited,Retail,Retail,EQ,16-Jun-08,6,1,INE326B01027,6
42,42,ALPHAGEO,Alphageo (India) Limited,Oil Drilling,Oil Drilling,EQ,11-May-07,10,1,INE137C01018,10
43,43,ALPSINDUS,Alps Industries Limited,Textiles,Textiles,EQ,24-Apr-96,10,1,INE093B01015,10
44,44,AMARAJABAT,Amara Raja Batteries Limited,Auto Ancillaries,Auto Ancillaries,EQ,05-Sep-03,1,1,INE885A01032,1
45,45,AMBIKCO,Ambika Cotton Mills Limited,Textiles - Composite Mills,Textiles - Composite Mills,EQ,29-Jan-08,10,1,INE540G01014,10
46,46,AMBUJACEM,Ambuja Cements Limited,Cement - Major,Cement - Major,EQ,18-Feb-98,2,1,INE079A01024,2
47,47,AMDIND,AMD Industries Limited,Packaging,Packaging,BE,19-Mar-07,10,1,INE005I01014,10
48,48,AMRUTANJAN,Amrutanjan Health Care Limited,Pharmaceuticals,Pharmaceuticals,EQ,02-Jan-15,1,1,INE098F01031,1
49,49,ANANTRAJ,Anant Raj Limited,Media & Entertainment,Media & Entertainment,EQ,27-Sep-06,2,1,INE242C01024,2
50,50,ANDHRSUGAR,The Andhra Sugars Limited,Miscellaneous,Miscellaneous,EQ,01-Nov-95,2,1,INE715B01021,2
51,51,ANKITMETAL,Ankit Metal & Power Limited,Steel - Tubes & Pipes,Steel - Tubes & Pipes,EQ,14-Mar-13,10,1,INE106I01010,10
52,52,ANSALAPI,Ansal Properties & Infrastructure Limited,Construction & Contracting - Housing,Construction & Contracting - Housing,BE,27-Jan-06,5,1,INE436A01026,5
53,53,ANSALHSG,Ansal Housing Limited,,,EQ,06-Oct-06,10,1,INE880B01015,10
54,54,APARINDS,Apar Industries Limited,Electric Equipment,Electric Equipment,EQ,12-Jul-04,10,1,INE372A01015,10
55,55,APCL,Anjani Portland Cement Limited,Cement - Major,Cement - Major,EQ,10-Apr-17,10,1,INE071F01012,10
56,56,APCOTEXIND,Apcotex Industries Limited,Rubber,Rubber,EQ,06-Sep-95,2,1,INE116A01032,2
57,57,APLAPOLLO,APL Apollo Tubes Limited,Engineering - Heavy,Engineering - Heavy,EQ,14-Dec-11,2,1,INE702C01027,2
58,58,APLLTD,Alembic Pharmaceuticals Limited,Pharmaceuticals,Pharmaceuticals,EQ,20-Sep-11,2,1,INE901L01018,2
59,59,APOLLOHOSP,Apollo Hospitals Enterprise Limited,Medical,Medical,EQ,10-Jan-96,5,1,INE437A01024,5
60,60,APOLLOTYRE,Apollo Tyres Limited,Auto Ancl,Auto Ancl,EQ,31-May-95,1,1,INE438A01022,1
61,61,APTECHT,Aptech Limited,Computers - Software - Training,Computers - Software - Training,EQ,27-Sep-02,10,1,INE266F01018,10
62,62,ARCHIDPLY,Archidply Industries Limited,Consumer Goods,Consumer Goods,EQ,04-Jul-08,10,1,INE877I01016,10
