,Ticker,company_name,sector,series,date of listing,paid up value,market lot,isin number,face value
0,21STCENMGM,21st Century Management Services Limited,Finance - General,EQ,03-MAY-1995,10,1,INE253B01015,10
1,3IINFOLTD,3i Infotech Limited,Computers - Software,EQ,22-OCT-2021,10,1,INE748C01038,10
2,3MINDIA,3M India Limited,Diversified,EQ,13-AUG-2004,10,1,INE470A01017,10
3,63MOONS,63 moons technologies limited,Computers - Software,EQ,20-JUN-2005,2,1,INE111B01023,2
4,A2ZINFRA,A2Z Infra Engineering Limited,Power - Transmission & Equipment,EQ,23-DEC-2010,10,1,INE619I01012,10
5,AAKASH,Aakash Exploration Services Limited,Engineering - Heavy,EQ,29-SEP-2020,1,1,INE087Z01024,1
6,AARON,Aaron Industries Limited,,BE,06-NOV-2020,10,1,INE721Z01010,10
7,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,Pharmaceuticals,EQ,06-AUG-2021,10,1,INE198H01019,10
8,AARTIDRUGS,Aarti Drugs Limited,Chemicals,EQ,19-SEP-2003,10,1,INE767A01016,10
9,AARTIDRUGS,Aarti Drugs Limited,Chemicals,EQ,19-SEP-2003,10,1,INE767A01016,10
10,AARVEEDEN,Aarvee Denims & Exports Limited,Textiles - Denim,EQ,21-NOV-2006,10,1,INE273D01019,10
11,AARVI,Aarvi Encon Limited,Diversified,EQ,24-JUN-2020,10,1,INE754X01016,10
12,ABAN,Aban Offshore Limited,Oil Drilling And Exploration,EQ,29-MAR-1995,2,1,INE421A01028,2
13,BIRLAMONEY,Aditya Birla Money Limited,Finance - General,EQ,07-FEB-2008,1,1,INE865C01022,1
14,3MINDIA,3M India Limited,Pharmaceuticals,EQ,13-AUG-2004,10,1,INE470A01017,10
15,5PAISA,5Paisa Capital Limited,Finance - Investments,EQ,16-NOV-2017,10,1,INE618L01018,10
16,ABMINTLLTD,ABM International Limited,Miscellaneous,BE,09-SEP-2021,10,1,INE251C01025,10
17,ACC,ACC Limited,Cement - Major,EQ,20-NOV-1996,10,1,INE012A01025,10
18,ACCELYA,Accelya Solutions India Limited,Computers - Software Medium & Small,EQ,01-DEC-1999,10,1,INE793A01012,10
19,ACCURACY,Accuracy Shipping Limited,Shipping,EQ,11-DEC-2020,10,1,INE648Z01015,10
20,3MINDIA,3M India Limited,,EQ,13-AUG-2004,10,1,INE470A01017,10
21,ACE,Action Construction Equipment Limited,Engineering - Heavy,EQ,26-SEP-2006,2,1,INE731H01025,2
22,ADANIENT,Adani Enterprises Limited,Trading,EQ,04-JUN-1997,1,1,INE423A01024,1
23,ADANIENT,Adani Enterprises Limited,Infrastructure - General,EQ,04-JUN-1997,1,1,INE423A01024,1
24,ADANIENT,Adani Enterprises Limited,,EQ,04-JUN-1997,1,1,INE423A01024,1
25,ADANIENT,Adani Enterprises Limited,Power - Transmission & Equipment,EQ,04-JUN-1997,1,1,INE423A01024,1
26,ADFFOODS,ADF Foods Limited,Food Processing,EQ,15-SEP-2010,10,1,INE982B01019,10
27,ABCAPITAL,Aditya Birla Capital Limited,Retail,EQ,01-SEP-2017,10,1,INE674K01013,10
28,ADORWELD,Ador Welding Limited,Electrodes & Graphite,EQ,10-MAY-1995,10,1,INE045A01017,10
29,ADVENZYMES,Advanced Enzyme Technologies Limited,Pharmaceuticals,EQ,01-AUG-2016,2,1,INE837H01020,2
30,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Hotels,EQ,25-JUN-2007,2,1,INE199C01026,2
31,AETHER,Aether Industries Limited,Speciality Chemicals,EQ,03-JUN-2022,10,1,INE0BWX01014,10
32,AGARIND,Agarwal Industrial Corporation Limited,Transport & Logistics,EQ,26-MAY-2014,10,1,INE204E01012,10
33,AGI,AGI Greenpac Limited,,EQ,31-MAY-2000,2,1,INE415A01038,2
34,AGRITECH,Agri-Tech (India) Limited,Fertilisers,EQ,28-JAN-2014,10,1,INE449G01018,10
35,3MINDIA,3M India Limited,Diversified,EQ,13-AUG-2004,10,1,INE470A01017,10
36,ADFFOODS,ADF Foods Limited,Edible Oils & Solvent Extraction,EQ,15-SEP-2010,10,1,INE982B01019,10
37,AHLADA,Ahlada Engineers Limited,,BE,28-JAN-2021,10,1,INE00PV01013,10
38,AHLUCONT,Ahluwalia Contracts (India) Limited,Construction & Contracting - Civil,EQ,14-DEC-2009,2,1,INE758C01029,2
39,A2ZINFRA,A2Z Infra Engineering Limited,Castings & Forgings,EQ,23-DEC-2010,10,1,INE619I01012,10
40,AIROLAM,Airo Lam limited,Miscellaneous,EQ,13-OCT-2021,10,1,INE801L01010,10
41,AJANTPHARM,Ajanta Pharma Limited,Pharmaceuticals,EQ,29-MAY-2000,2,1,INE031B01049,2
42,AJMERA,Ajmera Realty & Infra India Limited,Construction & Contracting - Real Estate,EQ,16-JUN-2009,10,1,INE298G01027,10
43,A2ZINFRA,A2Z Infra Engineering Limited,Construction & Contracting - Civil,EQ,23-DEC-2010,10,1,INE619I01012,10
44,AKASH,Akash Infra-Projects Limited,Miscellaneous,EQ,11-OCT-2019,10,1,INE737W01013,10
45,AKG,Akg Exim Limited,,BE,16-FEB-2021,10,1,INE00Y801016,10
46,AKSHOPTFBR,Aksh Optifibre Limited,Cables - Telephone,EQ,18-AUG-2000,5,1,INE523B01011,5
47,AKSHAR,Akshar Spintex Limited,Textiles - General,EQ,23-MAY-2022,10,1,INE256Z01017,10
48,AKSHARCHEM,AksharChem India Limited,Dyes & Pigments,EQ,28-MAR-2017,10,1,INE542B01011,10
49,AKZOINDIA,Akzo Nobel India Limited,Paints & Varnishes,EQ,28-JUN-2001,10,1,INE133A01011,10
50,ALANKIT,Alankit Limited,Miscellaneous,EQ,30-JUN-2015,1,1,INE914E01040,1
51,ALBERTDAVD,Albert David Limited,Pharmaceuticals,EQ,14-JUN-2016,10,1,INE155C01010,10
52,ALEMBICLTD,Alembic Limited,Pharmaceuticals,EQ,22-SEP-1999,2,1,INE426A01027,2
53,AJANTPHARM,Ajanta Pharma Limited,Pharmaceuticals,EQ,29-MAY-2000,2,1,INE031B01049,2
