,date,text
0,2022-10-30,Gautam Adani's group to invest $150 billion in pursuit of $1 trillion valuation
1,2022-10-30,RBI's rate-setting panel to discuss inflation report this week
2,2022-10-30,"Future Enterprises default on principal amount of ₹126.13 cr to banks, lenders"
3,2022-10-30,"Lemon Tree Hotels signs a new hotel in Haridwar, Uttarakhand"
4,2022-10-30,"#Russia suspends its participation in the #BlackSeaGrainInitiative in a retaliatory move for what it says were Kyiv-ordered attacks on #Russian vessels.

The #UN-backed deal brokered in July, eased Russia’s naval blockade, reopened 3 key #Ukrainian ports"
5,2022-10-30,"STEP1: PAY 100RS ENTRY FEE
Payment number- 9711780818
Gpay upi id - Himanshuahuja0007@oksbi

2: Send SCREENSHOT here after payment 👇

https://chat.whatsapp.com/Lqz2jGSu6AV4VHhhKgBDwu

3: WE WILL ADD YOU TO PREMIUM GROUP"
6,2022-10-30,"Gujarat: At least 35 die, over 30 injured as cable bridge collapses in Morbi"
7,2022-10-31,"L&T Construction secures power transmission orders in the range of ₹1,000-2,500 cr in Saudi Arabia"
8,2022-10-31,Panache Digilife in agreement with Revamp Moto to manufacture & supply EV in Indian market
9,2022-10-31,Musk says Twitter to revise how it verifies users; likely to charge $20 per mth
10,2022-10-31,LIC Housing Fin under pressure ahead of its earnings tomorrow
11,2022-10-31,Ramkrishna Forgings bags export order worth Rs 113.1 Cr from TIER 1 Rear & Front Axle Manufacturer in Europe
12,2022-10-31,"VST Tillers Q2 (YoY)  
🔴Net profit down 29.3% at ₹22.7 cr Vs ₹32.1 cr 
🔴Revenue up 0.3% at ₹234.2 cr Vs ₹233.5 cr 
🔴EBITDA up 16% at ₹32.2 cr Vs ₹38.4 cr 
🔴Margin at 13.8% Vs 16.4%"
13,2022-10-31,"GHCL reports Q2 earnings.
              
⭕️Net profit at Rs 300.5 cr Vs Rs 93.2 cr (YoY)
  
⭕️Revenue up 72% at Rs 1,381 cr Vs Rs 803 cr (YoY)   
 
⭕️EBITDA at Rs 433.8 cr Vs Rs 169 cr (YoY)     

⭕️Margin at 31.4% Vs 21% (YoY)"
14,2022-10-31,"Saregama reports Q2 earnings.
     
⭕️Net profit up 36.1% at Rs 46 cr Vs Rs 34 cr (YoY)    

⭕️Revenue up 30.5% at Rs 189.2 cr Vs Rs 145 cr (YoY)    

⭕️EBITDA up 28.1% at Rs 56.6 cr Vs Rs 44.2 cr (YoY)    

⭕️Margin at 30% Vs 30.4% (YoY)"
15,2022-10-31,"October #GST collections likely to be around Rs 1.52 lakh crore, sources tell"
16,2022-10-31,"Supreme Industries reports Q2 earnings.

⭕️Net profit down 64.1% at Rs 82 cr Vs Rs 228.7 cr (YoY)

⭕️Revenue up 8.2% at Rs 2,087 cr Vs Rs 1,928.5 cr (YoY)

⭕️EBITDA down 52.7% at Rs 147.1 cr Vs Rs 311 cr (YoY)

⭕️Margin at 7% Vs 16.1% (YoY)"
17,2022-10-31,"Bikaji Foods IPO
1⃣Price band at ₹285-300/sh, issue size is ₹881 cr
2⃣IPO will entirely be offer for sale (OFS) 
3⃣IPO issue opens on November 3 & closes on November 7"
18,2022-10-31,"Swaraj Engines Q2 (YoY)
🔴Profit up 6.2% at ₹35.9 cr Vs ₹33.8 cr 
🔴Revenue up 12% at ₹384.8 cr Vs ₹343.6 cr 
🔴EBITDA up 5.8% at ₹50.5 cr Vs ₹47.7 cr 
🔴Margin at 13.1% Vs 13.9%"
19,2022-10-31,"CBDT, #CBIC to #Field: As H2 of FY23 begins #revenue augmentation should be the focus

#Enhance tax base, especially cover new #economy taxpayers, #digital platforms avoiding taxes, #online gaming & #crypto currency sector"
20,2022-10-31,Dwarikesh Sugar wants 6 mt of sugar export to be allowed immediately. Company sees margin improving hereon
21,2022-10-31,"WPIL Q2 (YoY)  
🔴Net profit down 1.8% at ₹23.4 cr Vs ₹23.8 cr 
🔴Revenue up 40.8% at ₹404.3 cr Vs ₹287.1 cr 
🔴EBITDA down 18% at ₹49.3 cr Vs ₹60 cr 
🔴Margin at 12.2% Vs 20.9%"
22,2022-10-31,"Max Fin in focus
IRDAI writes to SEBI to examine Axis Bank-Max Life share deal: Sources"
23,2022-10-31,"Set to achieve 15% rev growth in FY23, expect H2FY23 turnover to be better than H1FY23. Have received a letter of intent of ₹8,100 cr for a battery pack

FY23 EBITDA margin guidance at 22-23% & expect $60 m of export orders for FY23

Bharat Electronics Concall"
24,2022-10-31,"IMF #AsiaPacific | IMF Regional Director: #China is continuing to slow, IMF has projected it to grow at 2.3%, the lowest since 1977"
25,2022-10-31,"SP Apparels Q2

▶️Net Profit down 1.3% at ₹22.9 Cr Vs ₹23.2 Cr (YoY)
▶️Revenue up 37.6% at ₹305.7 Cr Vs ₹222.1 Cr (YoY)
▶️EBITDA down 7.4% at ₹37.4 Cr Vs ₹40.4 Cr (YoY)
▶️Margin at 12.2% Vs 18.2 % (YoY)"
26,2022-10-31,"Motherson Wiring Q2

▶️Net Profit down 12.8% at ₹116.4 cr vs ₹133.5 cr YoY
▶️Revenue up 31.1% at ₹1,835.2 Cr Vs ₹1,400 Cr YoY
▶️EBITDA down 2.8% at ₹181 Cr Vs ₹186 Cr YoY
▶️Margin at 10% Vs 13.3% YoY"
27,2022-10-31,#Rupee ends at 82.78/$ against Friday's close of 82.47/
28,2022-10-31,"Castrol India reports Q2 earnings.

▶️Net profit up 0.7% at RS 187.2 cr Vs Rs 186 cr (YoY)

▶️Revenue up 4.5% at Rs 1,121.1 cr Vs Rs 1,073.2 cr (YoY)

▶️EBITDA down 2% at Rs 257.1 cr Vs Rs 262.3 cr (YoY)

▶️Margin at 22.9% Vs 24.4% (YoY)"
29,2022-10-31,"Hindustan Aeronautics Limited (HAL) gives additional charge for the post of Chairman & MD to CB Ananthakrishnan, Director (Finance)

▶️Reappointment for a further period of six months"
30,2022-10-31,"HFCL gets approval for application under production linked incentive (#PLI) scheme, to avail incentives up to Rs 652.79 cr"
31,2022-10-31,"Equitas SFB Bank reports Q2 earnings.

⭕️Profit at Rs 116.4 cr Vs CNBC-TV18 poll of Rs 104.6 Cr

⭕️NII at Rs 609.7 cr Vs CNBC-TV18 poll of Rs 570.1 cr"
32,2022-10-31,"Equitas SFB Bank reports Q2 earnings.

⭕️Net profit at Rs 116.4 cr Vs Rs 41.2 cr (YoY)

⭕️NII up 26% at Rs 609.7 cr Vs Rs 484 cr (YoY)"
33,2022-10-31,"Equitas SFB Bank reports Q2 earnings.

⭕️Net NPA at Rs 430.9 cr Vs Rs 441.2 cr (QoQ)

⭕️Gross NPA at Rs 870.3 cr Vs Rs 856 cr (QoQ)

⭕️Net NPA at 1.97% Vs 2.15% (QoQ)

⭕️Gross NPA at 3.91% Vs 4.10% (QoQ)"
34,2022-10-31,#Cupid gets Rs 3.72 cr order from United Nations Population Fund (#UNFPA)
35,2022-10-31,Sources say Bain Capital to sell 1.24% stake in #AxisBank Via #BlockDeals on Nov 1
36,2022-10-31,"Timken India reports Q2 earnings.

▶️Net profit up 23.3% at Rs 97.6 cr Vs Rs 79.2 cr (YoY)

▶️Revenue up 24.6% at Rs 695.4 cr Vs Rs 557.9 cr (YoY)"
37,2022-10-31,"CNBC Awaaz Newsbreak 
Oil OMCs to cut Petrol and Diesel price by 40 paisa from tomorrow morning
Reduction in prices by 40 paisa daily likely to continue for next 5 days. 
Total Reduction of Rs 2 in Petrol and Diesel prices in instalments likely #Fuel #Petrol #Diesel"
38,2022-10-31,"MOIL: Prices of Ferro grades of manganese ore with Manganese content of Mn-44% & above cut by 7.5%

The basic price of EMD have been increased for the month of November,22 from Rs.1,70,000 PMT to Rs.1,80,000 PMT"
39,2022-10-31,"MOIL: Prices of all other Ferro grades of manganese ore with Manganese content below Mn-44%, SMGR (Mn-30% & Mn-25%), Fines and Chemical grades have been continued"
40,2022-11-01,"'Reports of 40 Paise cut in #Petrol & #Diesel prices are incorrect,' sources to @Parikshitl"
41,2022-11-01,Axis Bank opens 1.25% in the red after Bain Capital sells 1.3% stake in bank
42,2022-11-01,"October #GST collections come in at ₹1.52 lakh cr, second highest collection ever with, next only to the collection in April 2022"
43,2022-11-01,"Maruti       
🔴Total sales at 1.67 lk units Vs Nomura est of 1.69 lk units, total sales down 5.1% MoM
🔴Alert: YoY numbers not comparable as Oct 2021 sales were impacted by chip shortage   
🔴domestic sales at 1.47 lk  units"
44,2022-11-01,"Varun Beverages Q3
🔴Net profit up 58.7% at ₹381 cr Vs ₹240 cr 
🔴Revenue up 33.1% at ₹3,248 cr Vs ₹2,440.4 CR
🔴EBITDA up 41.5% at ₹699 cr Vs ₹494 cr 
🔴Margin at 21.5% Vs 20.2%"
45,2022-11-01,"October #AutoSales | VST Tiller Tractors sales slip nearly 35% YoY. It's 1,842 units Vs 2,816 units YY"
46,2022-11-01,"Eicher VECV sales rise 4% YoY to 6,038 units Vs 5,805 units in the same month last year"
47,2022-11-01,Goa Carbon resumes production at Goa unit
48,2022-11-01,Solara Active Pharma gets European Regulator nod to manufacture Ibuprofen at Vizag facility
49,2022-11-01,"UPL gross debt as of September 30 at ₹32,550 cr vs ₹30,123 cr as of June 30"
50,2022-11-01,"Atul Auto 

⭕️Total sales up 9.9% at 2,352 units Vs 2,141 units (YoY)"
51,2022-11-01,"#NMDC October Update | Total #ironore #production up 6% at 3.53 mt Vs 3.33 mt (YoY)

⭕️Total iron ore #sales down 13.7% at 3.09 mt Vs 3.58 mt (YoY)"
52,2022-11-01,"Mahindra & Mahindra

⭕️Total tractor sales up 11% at 51,994 units Vs 47,017 units (YoY)

⭕️Total auto sales up 54.8% at 61,114 units Vs 41,908 units (YoY)"
53,2022-11-01,"Wheels India reports Q2 earnings

▶️Net profit down 42% at ₹11.9 cr vs ₹20.6 cr (YoY)

▶️Revenue up 22.2% at ₹1,189.1 cr vs ₹973.1 cr (YoY)

▶️EBITDA down 16.3% at ₹56.3 cr vs ₹67.2 cr (YoY)

▶️EBITDA margin at 4.7% vs 6.9% (YoY)"
54,2022-11-01,"Dhanuka Agritech reports Q2 earnings.

⭕️Net profit up 15.2% at Rs 73 cr Vs Rs 63.4 cr (YoY)

⭕️Revenue up 23.7% at Rs 542.9 cr Vs Rs 438.8 cr (YoY)

⭕️EBITDA up 18.7% at Rs 97.5 cr Vs Rs 82.2 cr (YoY)

⭕️Margin at 18% Vs 18.7% (YoY)"
55,2022-11-01,#DhanukaAgritech board approves #buyback of up to 10 lakh shares at Rs 850/share
56,2022-11-01,Balrampur Chini to consider share buyback on November 9
57,2022-11-01,"CMS Info Systems reports Q2 earnings

▶️Net profit up 37.6% at ₹72.5 cr vs ₹52.7 cr (YoY)

▶️Revenue up 26.8% at ₹471.6 cr vs ₹372 cr (YoY)

▶️EBITDA up 42.6% at ₹134 cr vs ₹94 cr (YoY)

▶️EBITDA margin at 28.4% vs 25.3% (YoY)"
58,2022-11-01,"MaxHealth reports Q2 earnings

▶️Net profit at ₹457.3 cr vs ₹144.6 cr (YoY)

▶️Revenue up 11.6% at ₹1,137.1 cr vs ₹1,019.3 cr (YoY)

▶️EBITDA up 32.8% at ₹319.2 cr vs ₹240.3 cr (YoY)

▶️EBITDA margin at 28% vs 23.6% (YoY)"
59,2022-11-01,"Coal India (@CoalIndiaHQ): #October provisional output up 6.3% (YoY) at 52.9 mt 

⭕️October #provisional offtake down 4.9% (YoY) at 53.7 mt"
60,2022-11-01,"Whirlpool reports earnings much lower than Bloomberg estimates
EBITDA at ₹72.2 cr Vs estimate of ₹109 cr
Margin At 4.9% Vs estimate of 6.2%"
61,2022-11-01,"#BASF: #Karnataka HC rules in favour of company in Rs 764 cr #tax notice case

⭕️Karnataka HC Quashes The Order Of Commercial Tax Department, Karnataka

⭕️Alert: Karnataka Tax Department had issued tax #notice for period of 2007-2018"
