,unknown
1,3IINFOTECH
4,8KMILES
13,ABIRLANUVO
22,ADHUNIK
23,ADHUNIKIND
24,ADLABS
29,AGCNET
33,AHLWEST
35,AIFL
43,ALBK
44,ALCHEM
53,ALOKTEXT
61,AMTEKAUTO
63,ANDHRABANK
65,ANGIND
79,ARCOTECH
85,ARROWTEX
100,ASSAMCO
114,AUTOLITIND
119,AXISGOLD
121,BAFNAPHARM
124,BAJAJCORP
134,BALLARPUR
141,BANKBEES
143,BANKNIFTY
162,BHARATFIN
165,BHARATIDIL
170,BHUSANSTL
173,BINANIIND
181,BLUEBLENDS
190,BRFL
196,BSLIMITED
200,CADILAHC
205,CAPF
211,CASTEXTECH
216,CEBBCO
218,CELESTIAL
230,CHEMFALKAL
233,CHROMATIC
240,CNOVAPETRO
251,CORPBANK
252,COSMOFILMS
254,COX&KINGS
265,DALMIABHA
280,DEEPIND
284,DENABANK
291,DHFL
293,DIAPOWER
295,DIGJAMLTD
296,DISHMAN
302,DOLPHINOFF
304,DPL
313,ECEIND
316,EDL
317,EDUCOMP
324,ELAND
331,EMCO
338,EON
343,ESL
345,ESSELPACK
351,EXCELCROP
355,FAGBEARING
356,FAIRCHEM
360,FEDDERLOYD
374,FRETAIL
381,GALLISPAT
382,GAMMNINFRA
383,GAMMONIND
387,GARDENSILK
388,GARWALLROP
391,GDL
406,GITANJALI
411,GLOBOFFS
426,GOLDBEES
428,GOLDSHARE
444,GRUH
447,GSKCONS
452,GTNIND
453,GTOFFSHORE
457,GUJFLUORO
459,GUJNRECOKE
460,GUJNREDVR
465,HANUNG
466,HARITASEAT
472,HBSTOCK
487,HEXAWARE
490,HIGHGROUND
502,HINDUJAFO
503,HINDUJAVEN
512,HOTELEELA
516,HSIL
522,IBVENTURES
527,ICSA
531,IDFCBANK
535,IFGLREFRAC
558,INDOSOLAR
568,INFINITE
569,INFRATEL
581,IPAPPM
592,IVRCLINFRA
612,JINDCOT
625,JMTAUTOLTD
636,JUBILANT
639,JUNIORBEES
641,JVLAGRO
665,KESARENT
667,KEYCORPSER
668,KGL
686,KOTAKGOLD
687,KOTAKNIFTY
688,KOTAKPSUBK
692,KPIT
695,KSBPUMPS
698,KTIL
700,KWALITY
703,LAKSHMIEFL
704,LAKSHVILAS
714,LINCPEN
716,LIQUIDBEES
717,LITL
718,LLOYDELENG
719,LML
739,MAGMA
748,MAJESCO
755,MANDHANA
759,MANGTIMBER
762,MANPASAND
771,MAXINDIA
777,MCDHOLDING
782,MEGH
786,MERCK
791,MIC
793,MINDAIND
804,MONNETISPA
805,MONSANTO
809,MOSERBAER
810,MOTHERSUMI
820,MUKANDENGG
827,MVL
828,NAGAAGRI
830,NAGAROIL
845,NBVENTURES
863,NIFTY
864,NIFTYBEES
865,NIFTYINFRA
866,NIFTYIT
867,NIFTYMID50
868,NIFTYPSE
870,NIITTECH
875,NITESHEST
876,NITINFIRE
886,NTL
889,NUTEK
892,OCL
899,OMMETALS
902,OPTOCIRCUI
904,ORCHIDPHAR
907,ORIENTBANK
913,ORIENTREF
919,PANORAMUNI
920,PAPERPROD
921,PARABDRUGS
923,PARRYSUGAR
927,PATSPINLTD
928,PBAINFRA
932,PDSMFL
933,PDUMJEIND
934,PDUMJEPULP
938,PENPEBS
948,PHILIPCARB
949,PHOENIXLL
953,PINCON
956,PITTILAM
963,POCHIRAJU
967,POLARIS
974,PRABHAT
978,PRAKASHCON
980,PRATIBHA
990,PRISMCEM
991,PROVOGE
994,PSL
995,PSUBNKBEES
1002,QGOLDHALF
1003,QNIFTY
1009,RAINBOWPAP
1010,RAIREKMOH
1014,RAJVIR
1031,RDEL
1035,REIAGROLTD
1037,RELCAPITAL
1049,RJL
1053,ROHITFERRO
1064,RTNINFRA
1068,RUCHISOYA
1072,SABTN
1080,SALORAINTL
1085,SANGHVIFOR
1101,SEINV
1103,SELMCL
1106,SERVALL
1117,SHARIABEES
1118,SHARONBIO
1121,SHILPI
1122,SHIRPUR-G
1124,SHIVTEX
1133,SHRIRAMEPC
1136,SICAGEN
1137,SICAL
1139,SIGNET
1143,SINTEX
1144,SITASHREE
1149,SKIL
1153,SMPL
1160,SONASTEER
1162,SORILHOLD
1163,SORILINFRA
1169,SPENTEX
1170,SPHEREGSL
1172,SPICEMOBI
1174,SPYL
1175,SQSBFSI
1177,SREINFRA
1180,SRIPIPES
1181,SRSLTD
1184,STAMPEDE
1189,STERLINBIO
1191,STINDIA
1192,STRTECH
1193,SUBEX
1196,SUJANAUNI
1205,SUNILHITEC
1211,SUPPETRO
1215,SUPREMETEX
1227,SYNCOM
1228,SYNDIBANK
1234,TALWALKARS
1236,TARAJEWELS
1242,TATAGLOBAL
1248,TATASPONGE
1254,TCIFINANCE
1259,TECHNO
1260,TECHNOFAB
1269,THIRUSUGAR
1282,TMRVL
1301,TUBEINVEST
1302,TULSI
1324,UNITEDBNK
1326,UNITY
1330,USHERAGRO
1336,VALUEIND
1349,VICEROY
1350,VIDEOIND
1352,VIJAYABANK
1353,VIJSHAN
1377,WABCOINDIA
1379,WEIZFOREX
1389,WINSOME
1393,WSI
1398,ZANDUREALT
1404,ZICOM
1406,ZODJRDMKJ
1408,ZUARIGLOB
1410,ZYLOG
